patient_id,split,seconds,dice_rv,dice_myo,dice_lv,mean_dice,gate_pass,dist_rv_mm,dist_myo_mm,dist_lv_mm,frac_nonpositive_jac,warped_intensity_residual
patient044,training,10.5,0.47271413082761116,0.7115156311832213,0.9153996101364522,0.6998764573824282,False,2.525821670060745,0.7910655331711661,0.1611402361842771,0.0,0.3687378466129303
patient045,training,10.1,0.7012933689180867,0.7453364938678759,0.9611351017890192,0.8025883215249939,True,1.1586476276066766,0.6302799405327362,0.07275081985056389,0.0,0.41728919744491577
patient046,training,10.3,0.6286871023713129,0.7142506343619547,0.927472064094455,0.7568032669425743,False,1.7192804108504154,0.7956119581192111,0.1689047354935979,0.0,0.3638685345649719
patient047,training,10.6,0.6404914529914529,0.78908580452711,0.9611312545322698,0.7969028373502777,False,1.8719492618073952,0.513510488122955,0.07309949528138701,0.0,0.279805451631546
patient048,training,10.3,0.5348715259570005,0.7456060880594311,0.9350497366881217,0.7385091169015178,False,2.4822298516492576,0.7591983910429722,0.13218346444024837,0.0,0.3056243360042572
patient049,training,9.9,0.42515723270440253,0.8246032860553293,0.9683235257293101,0.739361348163014,False,2.7166166123602524,0.3514713761951519,0.05601009307475868,0.0,0.35226279497146606
patient050,training,11.0,0.4126306806059313,0.7864486768919602,0.9651130023107705,0.721397453269554,False,3.3999780512682727,0.45434465794819656,0.06090568448750214,0.0,0.26429665088653564
patient051,training,10.9,0.644030399607747,0.7066861883845779,0.9315605029890744,0.7607590303271331,False,1.9679075611032422,1.0712382191295484,0.20707562696501286,0.0,0.38535815477371216
patient052,training,10.3,0.764616782793093,0.7365553186448709,0.9479807584741022,0.8163842866373553,True,1.1088077122184723,0.6722736376558497,0.09555785265393688,0.0,0.37781667709350586
patient053,training,9.8,0.6821380446174578,0.757589186793707,0.930718396930292,0.7901485427804856,False,1.534243933956592,0.9686906123022689,0.24734261989469059,0.0,0.37050122022628784
patient054,training,10.2,0.5270935960591133,0.746723494938732,0.95773247140726,0.7438498541350351,False,2.4523453798185737,0.8537614671266637,0.08356522719256823,0.0,0.3248715400695801
patient055,training,10.5,0.6309536667026677,0.8070451638295779,0.953125,0.7970412768440819,False,1.9709583678180838,0.4248143525388929,0.08105929042786411,0.0,0.31081974506378174
patient056,training,10.5,0.7095956687017625,0.6660825758405432,0.9003530349618495,0.7586770931680517,False,1.469578549823478,1.2262441525751813,0.35414777346985593,0.0,0.34673765301704407
patient057,training,10.1,0.6326028360482832,0.7920060617541201,0.9536004405892882,0.7927364461305638,False,1.9971447185586684,0.5679107486339942,0.09189698128373223,0.0,0.3590383529663086
patient058,training,10.5,0.43601583113456466,0.7722874202182417,0.9535529972211195,0.720618749524642,False,3.365284458878995,0.5223782912328185,0.08416919638695133,0.0,0.3389325737953186
patient059,training,10.6,0.49385327164573695,0.7585930453953302,0.9481765834932822,0.7335409668447831,False,2.6360035810790343,0.659201620150274,0.08856332776680217,0.0,0.3476153016090393
patient060,training,10.4,0.6062225615575492,0.7530974581683485,0.9571783597782451,0.772166126501381,False,2.1531011805320115,0.9181102483021079,0.12538704921598687,0.0,0.34939900040626526
patient061,training,10.4,0.5578721965513355,0.6021832952526022,0.8740079365079365,0.6780211427706248,False,3.7990888337907203,1.8273945357296584,0.47689878406150055,0.0,0.47682416439056396
patient062,training,10.7,0.718127297349584,0.7005917159763314,0.9477009477009477,0.788806653675621,False,1.52876757667101,0.7924844866739935,0.0884986106236959,0.0,0.3873652517795563
patient063,training,10.2,0.45775845775845775,0.5205061082024433,0.8924889543446245,0.6235845067685085,False,4.809533114362392,2.103873043552694,0.443764268010791,0.0,0.5287904739379883
patient064,training,10.7,0.7146167557932264,0.6978764478764479,0.934549138804458,0.7823474474913774,False,1.558222739561805,0.8093610038637006,0.11747429618023911,0.0,0.437824547290802
patient065,training,10.2,0.5001502855425308,0.5656836461126006,0.8728014274789702,0.6462117863780338,False,4.611718952303272,1.8836166856696632,0.511283004760407,0.0,0.45697036385536194
patient066,training,10.4,0.7448095142108446,0.6175925925925926,0.9106822262118492,0.7576947776717621,False,1.1088449147597703,1.5666308076538256,0.23799640283053614,0.0,0.46413305401802063
patient067,training,10.8,0.7257392147358216,0.6723604406485951,0.9424906909391808,0.7801967821078658,False,1.68570421927689,0.8577894278674194,0.102711451216831,0.0,0.3423336148262024
patient068,training,9.8,0.6584539574992301,0.6520856820744081,0.9471822087439979,0.7525739494392121,False,1.998313751228851,0.7666014202653437,0.09274828513248168,0.0,0.4730558693408966
patient069,training,9.7,0.5275482093663911,0.6504100129477773,0.9296407185628742,0.7025329802923476,False,2.2778794922137044,0.867329717806834,0.15180883638227743,0.0,0.4389331638813019
patient070,training,9.4,0.5743776563448695,0.611875452570601,0.909556938850238,0.6986033492552363,False,2.433323637877431,1.101992260608659,0.16836815517029263,0.0,0.5477942228317261
patient071,training,10.7,0.5756843021568817,0.648630594522378,0.8856803125530831,0.7033317364107811,False,3.3704916718771907,1.6900222938713068,0.5641536673779965,0.0,0.3186948299407959
patient072,training,10.1,0.6640889318511358,0.7176148938940242,0.9399441340782123,0.7738826532744575,False,1.9281301010914875,0.7005710413942098,0.10594586793831676,0.0,0.5086082816123962
patient073,training,9.9,0.6591734786557675,0.6433511679498891,0.9312615222544114,0.7445953896200227,False,2.1082286247041386,0.9923113707699094,0.12801292352450577,0.0,0.5116263628005981
patient074,training,10.1,0.5117574257425742,0.6583679114799447,0.9276612428935502,0.699262193372023,False,3.7300526396380156,0.9445016580507106,0.16105304246129362,0.0,0.613490104675293
patient075,training,9.7,0.6675727099755369,0.6661681124738259,0.9530981067125646,0.7622796430539758,False,1.8870193684293475,0.7987089961507213,0.0761162846357491,0.0,0.4854709208011627
patient076,training,10.2,0.501187178472497,0.6455345911949686,0.9148163100524829,0.6871793599066495,False,3.440854347220513,1.054466069262368,0.3028995335444911,0.0,0.6181542277336121
patient077,training,10.2,0.6515007146260123,0.5509822263797942,0.8971428571428571,0.6998752660495545,False,2.0028696701481032,2.0284658310630954,0.403225217003949,0.0,0.5616209506988525
patient078,training,10.1,0.6407991587802313,0.6844646407270661,0.9474497681607419,0.7575711892226797,False,1.832153226471102,0.895380641889139,0.0903852346112223,0.0,0.48346763849258423
patient079,training,10.5,0.6209075244112578,0.6614339268978444,0.9372905696505505,0.7398773403198842,False,2.1625591163117077,0.9281189366628935,0.13610099674424897,0.0,0.44642072916030884
patient080,training,9.4,0.645884072089625,0.6569661695161877,0.9238845144356955,0.7422449186805027,False,2.059030241410357,0.8725141212368397,0.15582619406379536,0.0,0.5766111016273499
patient081,training,10.1,0.7221654749744637,0.6594776748104465,0.9088678583946723,0.7635036693931943,False,1.7392065786050979,1.3386842626296263,0.342759479252307,0.0,0.48501548171043396
patient082,training,10.2,0.7270255984293589,0.6865127582017011,0.949874686716792,0.7878043477826173,False,1.513222724277478,0.8198122233228746,0.0873222608139885,0.0,0.45704716444015503
patient083,training,9.4,0.8881954486642819,0.7923449186097669,0.9224890829694323,0.8676764834144937,True,0.31339354887929116,0.4470870633326655,0.12889548744674906,0.0,0.4179128110408783
patient084,training,9.4,0.7801023814823058,0.6501095690284879,0.9028686462003019,0.7776935322370319,False,0.6980838734939069,0.7415745503050335,0.1891678221089089,0.0,0.39152097702026367
patient085,training,10.1,0.8703615225354355,0.652222974497856,0.9380710659898477,0.8202185210077131,True,0.38450785839307877,0.7635032038912465,0.10683220465333162,0.0,0.3750259578227997
patient086,training,9.8,0.8849292578106137,0.6504912773210347,0.8971820258948972,0.8108675203421819,True,0.40950329609929775,0.9760994316862462,0.2066271589369003,0.0,0.5121051073074341
patient087,training,10.2,0.8384606247772894,0.6995276237420415,0.9548387096774194,0.8309423193989168,True,0.6284504516761532,0.7987040200808935,0.07738837195907755,0.0,0.47918978333473206
patient088,training,10.1,0.7592301649646505,0.7088080022228397,0.8949269671744935,0.787655044787328,False,1.3634911576866113,1.1637904053878088,0.4509706534741801,0.0,0.3637557923793793
patient089,training,9.4,0.8234385061171925,0.6452031114952463,0.9499575911789653,0.8061997362638014,True,0.5438199047302776,0.89964144622117,0.08343332832193388,0.0,0.5830540657043457
patient090,training,9.8,0.7666616061940186,0.697632058287796,0.8996239514029505,0.7879725386282551,False,1.460969570516394,0.777191971198699,0.2669095768720301,0.0,0.3856476843357086
patient091,training,10.2,0.7355293712909607,0.5778421433743663,0.9057843996494304,0.7397186381049191,False,1.482889519641236,1.6121513828225367,0.3549708382846413,0.0,0.4591003656387329
patient092,training,10.1,0.7812822402358143,0.6380860629415542,0.9313091090094574,0.7835591373956087,False,1.1882085533037336,0.9607637952082492,0.1591628319526725,0.0,0.4649723768234253
patient093,training,9.8,0.5938361719383617,0.6280193236714976,0.9247878255779924,0.7155477737292838,False,2.4047302977426765,1.6795971647808923,0.3071210524105451,0.0,0.5166236758232117
patient094,training,8.9,0.6733034677285549,0.7081684059014034,0.8783029400818757,0.7532582712372781,False,1.7642971459961794,0.6699190691372047,0.32982968859883893,0.0,0.3762021064758301
patient095,training,9.7,0.7775893740285432,0.6621848739495798,0.9340881520420542,0.7912874666733924,False,0.9241758236639811,0.7183762552018952,0.11954563094586204,0.0,0.47286561131477356
patient096,training,10.3,0.7948166308100265,0.7278309127405833,0.9114766216965441,0.8113747217490513,True,1.211519195852131,1.1447653146054473,0.33394532787493103,0.0,0.4239453375339508
patient097,training,10.2,0.8230348219243278,0.6664762176831881,0.9212481426448736,0.8035863940841298,True,0.7166654742471509,0.8314460381050927,0.15908377645884286,0.0,0.4786372184753418
patient098,training,9.8,0.8530774859744694,0.7415634344297309,0.9188869153345175,0.837842611912906,True,0.46965606267866133,0.6665854385452797,0.14486283960130733,0.0,0.463530570268631
patient099,training,10.2,0.7991821235577625,0.6876632355200492,0.9144845873384156,0.8004433154720757,True,1.2553216486802323,1.1233698825471325,0.31380175370412877,0.0,0.4429733455181122
patient100,training,10.2,0.7813054274565449,0.7186743623161422,0.930763178599528,0.8102476561240716,True,1.233336470269169,0.6638789119451861,0.11709167323050426,0.0,0.42461922764778137
patient101,testing,10.9,0.6849382716049383,0.7988165680473372,0.9657643312101911,0.816506390287489,True,1.6017974338013707,0.8034829543682427,0.07692190748742625,0.0,0.3168826699256897
patient102,testing,10.1,0.6400447844747155,0.5577277757285135,0.8574479444741057,0.6850735015591116,False,1.944720835429833,1.9741823179928784,0.4817253400207696,0.0,0.5711797475814819
patient103,testing,10.4,0.4865280985373364,0.8199095022624434,0.9655300566756481,0.7573225524918094,False,2.427325920281478,0.47762690179349643,0.057206326415003964,0.0,0.4001952111721039
patient104,testing,10.5,0.37969574666252714,0.5238048685110959,0.7691466083150985,0.5575490744962405,False,5.912491726548545,2.379320657262461,0.8271095980843286,0.0,0.6170511245727539
patient105,testing,10.7,0.616836832980158,0.538511466897447,0.8347497639282342,0.6633660212686131,False,1.893163488045876,1.749451702781832,0.41741210425287245,0.0,0.6710904240608215
patient106,testing,10.6,0.9178595773687799,0.8741906564398845,0.9808739355018847,0.9243080564368498,True,0.2805494698998703,0.21110669428838652,0.03047680917326122,0.0,0.19480586051940918
patient107,testing,10.5,0.6555183946488294,0.5931574608408904,0.8910940213346564,0.7132566256081255,False,2.222841656966544,1.5982807045324714,0.3842775198204793,0.0,0.40670427680015564
patient108,testing,10.6,0.549523110785033,0.5468031759297952,0.8447684391080618,0.6470315752742967,False,3.068292227086132,2.607023890252131,0.8937920683941087,0.0,0.6861370205879211
patient109,testing,10.2,0.7930537541432483,0.7050605844618675,0.9270526660124305,0.8083890015391821,True,1.2177766426877223,1.0268035147805263,0.19663808583924866,0.0,0.3641844093799591
patient110,testing,10.4,0.7016924514588309,0.5633361455947933,0.8610289769367239,0.7086858579967826,False,1.6854572062996522,2.025540132271626,0.6281204280717576,0.0,0.5242964029312134
patient111,testing,9.4,0.5958716737130068,0.5955822828726726,0.9076376554174067,0.6996972040010286,False,1.88283688466588,1.689850855451063,0.2884650407986547,0.0,0.6126058101654053
patient112,testing,10.9,0.5495109352676119,0.724797164972489,0.9362484675112382,0.7368521892504464,False,3.2383505346104813,0.8685091321156286,0.17449102302624636,0.0,0.4889456629753113
patient113,testing,11.0,0.7151157748677478,0.8325887786779738,0.9732514177693762,0.8403186571050326,True,1.5558586843578435,0.3272426598137168,0.04563900135850357,0.0,0.266805499792099
patient114,testing,11.4,0.4568298969072165,0.6865548980933597,0.8697936210131332,0.6710594720045698,False,3.6070276174413713,1.4865666439015097,0.5213498017589595,0.0,0.6502214670181274
patient115,testing,11.0,0.7174112140022387,0.7467656202988667,0.9452437635855502,0.8031401992955519,True,1.2546917753526805,0.6240425859905392,0.11617078143865275,0.0,0.3572632372379303
patient116,testing,10.8,0.4859302138607493,0.6236166108234339,0.8965047662278711,0.6686838636373514,False,2.6366496213585795,1.4861151740876104,0.24075556813300408,0.0,0.529349684715271
patient117,testing,10.9,0.5949553744664339,0.7844890876326504,0.966468739084876,0.78197106706132,False,2.8829333589441384,0.48863711270456756,0.08436741550031607,0.0,0.40638846158981323
patient118,testing,10.6,0.622975763503967,0.8197336334646408,0.9537374406536381,0.7988156125407486,False,1.8998854964316472,0.4102183265795362,0.08422473404263714,0.0,0.33861878514289856
patient119,testing,10.1,0.6917808219178082,0.6401246321620218,0.8866666666666667,0.7395240402488322,False,1.7364743679465668,1.5053817543906156,0.478684846461838,0.0,0.4474991261959076
patient120,testing,10.6,0.6505627230304694,0.7650273224043715,0.9499532897370879,0.7885144450573097,False,1.2727607040299902,0.6029758840184778,0.09493958926384134,0.0,0.4013453423976898
patient121,testing,10.2,0.7567728490622209,0.603129074315515,0.9197331611792554,0.7598783615189971,False,1.3108270169497214,1.7499262258825818,0.2759912966458117,0.0,0.5354809165000916
patient122,testing,10.5,0.6668407310704961,0.8247422680412371,0.9602360981671326,0.8172730324262886,True,1.9472296279312906,0.3565106142156113,0.07011811676984839,0.0,0.42449384927749634
patient123,testing,10.1,0.5457631913990664,0.5958495460440986,0.8742268041237113,0.6719465138556254,False,3.2939308545257147,1.355130490639649,0.2859870204474659,0.0,0.5860397219657898
patient124,testing,10.7,0.8640931457481461,0.6852445311411454,0.9317083420886741,0.8270153396593218,True,0.4894683013900877,0.7693136962047811,0.12726560988366364,0.0,0.36018699407577515
patient125,testing,10.2,0.6824887748556767,0.6171428571428571,0.9121813031161473,0.7372709783715603,False,2.083214593148547,1.432553362971042,0.2621665052845243,0.0,0.38917481899261475
patient126,testing,10.2,0.7968734733756717,0.6798096532970768,0.9235167977126519,0.8000666414618002,True,0.7562182804585661,0.709665368811667,0.17101482037542162,0.0,0.3942281901836395
patient127,testing,10.7,0.864783759929391,0.6933511974543628,0.914562435143549,0.8242324641757676,True,0.4020687651446258,1.3201344759804083,0.2716532660567057,0.0,0.4396919310092926
patient128,testing,10.5,0.6550591327201051,0.566514657980456,0.8911153119092627,0.7042297008699413,False,2.1141977141949884,2.102492891256241,0.49054181342011793,0.0,0.4898800253868103
patient129,testing,10.1,0.762479814645791,0.6185055458260362,0.908053070040111,0.763012810170646,False,1.237248181987212,1.5158889759280962,0.42024532236030043,0.0,0.5054583549499512
patient130,testing,10.7,0.6642645528064697,0.6338841329882541,0.9164490861618799,0.7381992573188679,False,2.567268341982176,1.4583645815061312,0.2673347515563601,0.0,0.4124511778354645
patient131,testing,10.9,0.8091467663267246,0.8653683319220999,0.9797175568082757,0.8847442183523668,True,1.1699830628536756,0.23124628171128989,0.0323040932310754,0.0,0.21634919941425323
patient132,testing,10.9,0.8693874571073957,0.8673644474948524,0.9777593876073238,0.9048370974031906,True,0.41505871977458153,0.23843498944017305,0.036915157949843874,0.0,0.19348357617855072
patient133,testing,10.9,0.8146004896505675,0.8552472089314195,0.9737483085250338,0.8811986690356736,True,0.907007109087601,0.27904072850653644,0.04667843951177162,0.0,0.2554369866847992
patient134,testing,10.8,0.7684021543985637,0.6911902530459232,0.917204932472108,0.7922657799721983,False,1.0347776702074372,0.7804445108175143,0.15052436794292184,0.0,0.4922073483467102
patient135,testing,10.4,0.6224489795918368,0.854160155029068,0.9651382078775796,0.813915780832828,True,2.872003184107054,0.29530521092559114,0.06327423733037241,0.0,0.251961350440979
patient136,testing,11.0,0.6584255042290176,0.7438044206296048,0.9487376650006408,0.783655863286421,False,1.8279880324150142,0.8963593712358995,0.15277979656456112,0.0,0.3859051764011383
patient137,testing,15.2,0.6455181756604199,0.6701629518636448,0.9387878787878788,0.7514896687706479,False,2.260558347830205,1.014739534080558,0.12767498144858933,0.0,0.36919352412223816
patient138,testing,15.7,0.6452184179456907,0.5975830378464433,0.861749776052553,0.7015170772815623,False,1.9368226457172666,1.5776671553729014,0.39726197242142625,0.0,0.6970608234405518
patient139,testing,19.4,0.7354392892398816,0.6101864181091877,0.9158878504672897,0.7538378526054529,False,1.4766461386051408,1.6967391648805958,0.25908909734052227,0.0,0.498979777097702
patient140,testing,10.5,0.7945823927765236,0.6695800874026221,0.9362846503930492,0.800149043524065,True,0.9005736061573465,0.7932429779731385,0.11747810633957248,0.0,0.545944094657898
patient141,testing,10.0,0.695583429956783,0.6417382516422435,0.9146844275293371,0.750668703042788,False,1.618331817107514,1.0209028014235042,0.15740793525382743,0.0,0.4171956479549408
patient142,testing,9.2,0.49557522123893805,0.4645429024777249,0.8195991091314031,0.593239077616022,False,4.624039886298932,2.9707750993475246,0.65811695959368,0.0,0.7396512031555176
patient143,testing,12.4,0.5720425243157656,0.7903641637125363,0.9639685359045927,0.7754584079776315,False,2.2892337144695034,0.47711560482213644,0.06183645366954242,0.0,0.4081405997276306
patient144,testing,13.9,0.693659281894576,0.5646560030834458,0.8957617411225659,0.7180256753668625,False,1.2326545019360242,1.4790992606475566,0.2423688382667188,0.0,0.5834740400314331
patient145,testing,14.3,0.6535907335907336,0.8025629394420504,0.9382909142613394,0.7981481957647079,False,1.9140321828209712,0.5509594101994593,0.14956037622625246,0.0,0.4052848219871521
patient146,testing,11.0,0.5737891737891738,0.48587459395609806,0.8200615926088869,0.6265751201180528,False,2.206663860336203,2.7995679989399562,0.7190311989497671,0.0,0.5346235632896423
patient147,testing,10.5,0.7579055912007333,0.5536512667660208,0.9021024967148489,0.7378864515605343,False,1.4097912857896666,1.6311586318974813,0.21176322599792924,0.0,0.5871196985244751
patient148,testing,10.4,0.8045062955599734,0.7911243337052188,0.9610699785048961,0.8522335359233627,True,0.6435618661926288,0.4523074300755139,0.06356170584976169,0.0,0.3499881327152252
patient149,testing,10.8,0.605799812909261,0.7271392617449665,0.9527410207939508,0.7618933651493928,False,3.4039427185080102,0.9214438478705362,0.09020233999831408,0.0,0.3579942584037781
patient150,testing,10.0,0.6089367253750816,0.5038969840731955,0.8758223684210527,0.6628853592897767,False,2.2385094105673145,2.0880882749227085,0.4388787779512142,0.0,0.5136096477508545
